IndustryCode,IndustryDescription,sector
,Final Consumption,0
A01,"Crop and animal production, hunting and related service activities",1
A02,Forestry and logging,2
A03,Fishing and aquaculture,3
B,Mining and quarrying,4
C10-C12,"Manufacture of food products, beverages and tobacco products",5
C13-C15,"Manufacture of textiles, wearing apparel and leather products",6
C16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",7
C17,Manufacture of paper and paper products,8
C18,Printing and reproduction of recorded media,9
C19,Manufacture of coke and refined petroleum products ,10
C20,Manufacture of chemicals and chemical products ,11
C21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,12
C22,Manufacture of rubber and plastic products,13
C23,Manufacture of other non-metallic mineral products,14
C24,Manufacture of basic metals,15
C25,"Manufacture of fabricated metal products, except machinery and equipment",16
C26,"Manufacture of computer, electronic and optical products",17
C27,Manufacture of electrical equipment,18
C28,Manufacture of machinery and equipment n.e.c.,19
C29,"Manufacture of motor vehicles, trailers and semi-trailers",20
C30,Manufacture of other transport equipment,21
C31_C32,Manufacture of furniture; other manufacturing,22
C33,Repair and installation of machinery and equipment,23
D35,"Electricity, gas, steam and air conditioning supply",24
E36,"Water collection, treatment and supply",25
E37-E39,"Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",26
F,Construction,27
G45,Wholesale and retail trade and repair of motor vehicles and motorcycles,28
G46,"Wholesale trade, except of motor vehicles and motorcycles",29
G47,"Retail trade, except of motor vehicles and motorcycles",30
H49,Land transport and transport via pipelines,31
H50,Water transport,32
H51,Air transport,33
H52,Warehousing and support activities for transportation,34
H53,Postal and courier activities,35
I,Accommodation and food service activities,36
J58,Publishing activities,37
J59_J60,"Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",38
J61,Telecommunications,39
J62_J63,"Computer programming, consultancy and related activities; information service activities",40
K64,"Financial service activities, except insurance and pension funding",41
K65,"Insurance, reinsurance and pension funding, except compulsory social security",42
K66,Activities auxiliary to financial services and insurance activities,43
L68,Real estate activities,44
M69_M70,Legal and accounting activities; activities of head offices; management consultancy activities,45
M71,Architectural and engineering activities; technical testing and analysis,46
M72,Scientific research and development,47
M73,Advertising and market research,48
M74_M75,"Other professional, scientific and technical activities; veterinary activities",49
N,Administrative and support service activities,50
P85,Education,52
Q,Human health and social work activities,53
R_S,Other service activities,54
